name,lng,lat,address,isConnected,dcNum,acNum,s_idx,chg_points
比亚迪凯丰路充电站,114.05819857701938,22.5723359629162,广东省深圳市福田区凯丰路的士码头（喜憨儿洗车中心旁）,True,16,0,567,16
比亚迪白石洲充电站,113.96014488260656,22.54173271719965,广东省深圳市南山区沙河街道沙河东路(导航地点：比亚迪高压充电桩),True,60,0,558,60
莲花山电动汽车充电站,114.05792814792474,22.567478866312115,深圳市福田区梅林片区奥仕达路凯丰社区公园旁,True,50,0,557,50
皇岗口岸,114.06812768698016,22.52054659872366,福田区皇岗南路皇岗口岸深圳车港城7楼,True,40,0,552,40
深圳市宝安区汇新安加油站充电站,113.8747225917872,22.585326301963264,深圳市宝安区庄边路汇新安加油站对面,True,6,0,546,6
比亚迪长岭村充电站,114.18385293547531,22.555656344555786,广东省深圳市罗湖区长岭村（导航地点：罗沙路往盘山路充电站）,True,30,0,542,30
万马爱充沙湾兴华路站,114.16029931804846,22.610535103181544,深圳市南湾街道沙湾社区兴华路11号,True,24,4,536,28
万马爱充金龙华广场站,114.01211483852032,22.665028764870428,深圳市龙华区龙观西路3号,True,10,7,525,17
投行大厦充电站,114.04678621146334,22.5390318993538,深圳市福田区福华一路投行大厦,True,2,0,523,2
银湖充电站,114.01559928808952,22.668886841945163,深圳市罗湖区北环大道1022号,True,19,0,517,19
福田会展中心充电站,114.05267498348864,22.532740163082224,深圳市福田区会展中心室外停车场西北角,True,11,0,512,11
泥岗充电站,114.09187794933244,22.57051413822714,深圳市罗湖区泥岗村大地苑停车场（泥岗地铁旁）,True,22,0,499,22
宝安西乡街道金雅园充电站,113.87419248577982,22.58879939879898,深圳市宝安区西乡街道金雅园内,False,2,4,480,6
滨江大厦充电站,114.09764650083076,22.54064600369584,深圳市福田区红岭南路30号滨江大厦地面停车场,True,1,0,477,1
宝安49区充电站,113.88285744719178,22.57514154265792,深圳市宝安区新安街道鸿昌花园,True,20,0,472,20
比亚迪仙台路充电站,114.17600887004949,22.562319479401307,广东省深圳市罗湖区莲塘罗沙公路东方凤雅台对面,True,140,0,465,140
福田景洲大厦充电站,114.0433791829004,22.55569573403517,深圳市福田区景洲大厦室外停车场,True,6,0,433,6
龙岗中心城东充电站,114.2327406684134,22.730806866568745,深圳市龙岗区吉祥路597号,True,17,0,426,17
文博宫充电站,114.10077524349006,22.60805274314559,深圳市龙岗区布吉西环路文博宫停车场（立体停车场）,True,100,0,424,100
朗山酒店充电站,113.94603294603566,22.559100328538133,深圳市南山区科技园北区朗山路7号,True,17,0,416,17
福田体育公园充电站,114.03241203948164,22.52953265551732,深圳市福田区滨河大道出口与滨河大道辅道交叉口南,True,30,0,411,30
比亚迪上水径充电站,114.0992958749672,22.63608265388904,广东省深圳市龙岗区上水径申龙工业区,True,127,0,396,127
坪山体育馆充电站,114.33686731772124,22.677859744531517,深圳市坪山区坪山区体育一路1号弘金地·费雷罗国际网球学院,True,82,0,390,82
罗湖泰宁花园停车场充电站,114.13566517350728,22.567676779770903,深圳市罗湖区爱国路3033号泰宁花园停车场,True,12,0,365,12
布吉文博宫充电站,114.10705142253792,22.61446667078501,广东省深圳市龙岗区八约二街38号,False,0,100,364,100
比亚迪景田市场充电站,114.04110403584046,22.55217692226629,深圳市福田区景田综合市场比亚迪电动汽车充电站,True,24,0,357,24
八约一街,114.09682598393876,22.61377388522584,深圳市龙岗区布吉街道华龙路八约一街8号观光美食广场,True,17,0,356,17
怡景中心充电站,114.05464437817233,22.53851344262864,深圳市福田区福华一路3号中心城广场,True,2,0,349,2
罗湖怡景花园充电站,114.12156713858028,22.553076375548024,深圳市罗湖区怡景花园桂花楼旁停车场,False,0,18,335,18
罗湖国检珠宝大厦充电站,114.12277280630708,22.56315489355354,深圳市罗湖区贝丽南路4号国检珠宝大厦地下停车场负一层,False,0,24,326,24
罗湖西湖宾馆充电站,114.10464506966768,22.55672328359744,深圳市罗湖区宝安南路西湖宾馆充电站停车场,True,54,0,312,54
福田莲花二村停车场充电站,114.06460179924204,22.55294470975837,深圳市福田区红荔路5002号莲花二村停车场,False,0,29,305,29
