name,longitude,latitude,address,isConnected,dcNum,acNum
路源通充电站,113.93653,22.608102,深圳市南山区西丽街道牛成村白石岗耕作口牛成路0001号,True,15,0
荔枝世界充电站-专用,113.93866799999999,22.607431,深圳市南山区沙河西路5080号,True,40,0
宝安机场承远加油站充电站,113.81056699999999,22.620442999999998,深圳市宝安区机场承远加油站地面停车场,False,0,8
宝安机场承远大厦充电站,113.810635,22.620252,深圳市宝安区机场承远大厦,True,6,0
比亚迪民乐的士接驳充电站,114.047899,22.596094,深圳市龙华新区民乐地铁站旁边,True,58,0
南方科技大学充电站,114.00262,22.60016,深圳市南山区学苑大道1088号教师公寓2栋地面停车场,True,1,0
罗湖淘金山南广场充电站,114.14335700000001,22.585673,深圳市罗湖区东湖淘金山湖景花园一期车库大门,False,0,12
罗湖淘金山湖景花园充电站,114.14335700000001,22.585673,深圳市罗湖区东湖淘金山湖景花园一期车库内,False,0,120
罗湖布心充电站-专用,114.135772,22.585462,深圳市罗湖区布心山庄东区文德路88号,True,30,0
仙湖植物园充电站,114.173745,22.581823,深圳市罗湖区莲塘仙湖路160号深圳仙湖植物园内停车库6楼6B,True,3,0
南山南科大充电站,113.99946299999999,22.597599,广东省深圳市南山区学苑大道南科大4号门,False,8,0
翠岭华庭站,114.046783,22.592948,深圳市龙华区新区大道3号翠岭华庭,True,14,0
西丽花卉中心充电站,113.937109,22.60279,深圳市南山区西丽街道沙河西路4821号深港花卉中心,True,93,0
